value	quote_count	file_key	quote_keys
मनुः	91		
मनोरमा - मुक्तकम्	1	manoramA_-_muktakam	yasyaShaSh
मल्लिनाथः	1	mallinAthaH	ihAmvayamu
महाकालसंहिता	1	mahAkAlasaMhitA	mashAstramAloky
महाभारतम्	15		
महार्थमञ्जरी	1	mahArthamanjarI	yatraruchi
महेन्द्रवर्मा - मत्त-विलास-प्रहसनम्	2	mahendravarmA_-_matta-vilAsa-prahasanam	bhAShAvesh, peyAsurApr
महेशभट्टः	2	maheshabhaTTaH	apUparAsha, gopAlamAmA
माघः	1	mAghaH	Arabhamtel
मुण्डकोपनिषदि	1	muNDakopaniShadi	dvAsuparmA
मुरलीधर-सुदर्शनः	1	muralIdhara-sudarshanaH	shashvatkA
मूर्तिशिवः - वनगृह-शासनम्	2	mUrtishivaH_-_vanagRha-shAsanam	damShTrAsamdhim, surAsurashiraHs
मेण्ठः	1	meNThaH	tyaktovimdhyagi
मेरुतन्त्रम्	1	merutantram	yadRchChayAshru
याज्ञवल्क्यः	2	yAjnavalkyaH	dauhRdasyA, japashchad
याज्ञवल्क्यस्मृतिः	1	yAjnavalkyasmRtiH	smRtyorvir
यामुनः - मुक्तकम्	1	yAmunaH_-_muktakam	AshailAdad
यामुनः - संवित्सिद्धिः	1	yAmunaH_-_saMvitsiddhiH	hamtabrahm
यायावरः	1	yAyAvaraH	dRshAdagdh
योग-वासिष्ठम्	4	yoga-vAsiShTham	apipauruSh, bhArovivek, samtoShaHp, yombhastAt
योगेश्वरः - मुक्तकम्	1	yogeshvaraH_-_muktakam	devIsUmuma
रङ्गनाथशर्मा	1	ranganAthasharmA	hariharayo
राघव-पञ्चानन-भट्टाचार्यः	1	rAghava-panchAnana-bhaTTAchAryaH	paravAkyam
राघवेन्द्रः	3	rAghavendraH	bhaktishra, chorAmatAl, gameshogir
राघवेन्द्रः - मुक्तकम्	2	rAghavendraH_-_muktakam	mAbhaiShIr, tyAgarAgab
राघवेन्द्रभट्टः	1	rAghavendrabhaTTaH	vishAmItya
राजराजेश्वरतीर्थः	1	rAjarAjeshvaratIrthaH	shrImerurh
राजशेखरः	2	rAjashekharaH	migaditama, muktakekav
राजशेखरः - काव्यमीमांसा	2	rAjashekharaH_-_kAvyamImAMsA	gItasUktir, pumsaHkAlA
राजारामज-शङ्करः - मुक्तकम्	255		
रामकृष्णः	3	rAmakRShNaH	AhUtAmAyAs, mishAkAmtA, yatrAmodom
रामायणम्	5		
राल्लपल्ल्य्-अनन्तकृष्णशर्मा - मुक्तकम्	1	rAllapally-anantakRShNasharmA_-_muktakam	amirvedama
रुय्यकालङ्कारसर्वस्य जयरथ-तीका	1	ruyyakAlankArasarvasya_jayaratha-tIkA	bhImabhrUk
रौरवागमः	1	rauravAgamaH	mamImAmsyA
लक्षणसङ्ग्रहः	1	laxaNasangrahaH	ichChAtUli
लक्ष्मणः	1	laxmaNaH	sItAmsvaha
लक्ष्मणः - रामायणम्	1	laxmaNaH_-_rAmAyaNam	dharmAtmAs
लक्ष्मणः - सूक्तिरत्नकोशः	6		
लक्ष्मीधरः	2	laxmIdharaH	gatoyamsha, mikaShAyit
लीलावती	1	lIlAvatI	aShTauvyAk
लोलिम्बराजः - मुक्तकम्	1	lolimbarAjaH_-_muktakam	kimkAmtAma
लोल्ललक्ष्मीधरः	1	lollalaxmIdharaH	vayamihapadavid
वरदभट्टः - गीर्वाणमञ्जरी	1	varadabhaTTaH_-_gIrvANamanjarI	shixAghrAm
वसिष्ठस्मृतिः	1	vasiShThasmRtiH	AchArahIma
वाग् आम्भृणी	1	vAg_AmbhRNI	ahamrudrAy
वाग्भटः	1	vAgbhaTaH	smigdhavRd
वात्स्यायनः - कामसूत्रम्	2	vAtsyAyanaH_-_kAmasUtram	mashAstram, tasmAdesha
वादीराजतीर्थः - युक्तिमालिका	1	vAdIrAjatIrthaH_-_yuktimAlikA	mavitairum
वामनभट्टबाणः - वेमभूपालचरितम्	1	vAmanabhaTTabANaH_-_vemabhUpAlacharitam	bAmAdamyek
