mAbhUjamah
mayisthiti
mayitepAda
medashChed
medhAvIvAk
medimyAmvi
meghATopai
meghAtyaye
meghAtyayebhava
meghAtyayebhavatikAs_1
meghAvarSh
meghairmed
meghairvyo
meghobhAti
mekhalIyat
merUrukesa
meruHsthit
merurdUrag
militamihi
mishrIbhUt
mitamAyurv
mitamdadAt
mithordhac
mithyauSha
mitrAmisha
mitradrohI
mitradruha
mitramkala
mitramsvac
mitrasvaja
mitravAmsA
mitrekvApi
mlAmasyajI
mlechChAHk
mlechChabh
mochayatim
mohAmayAsu
mohamrumad
momArAmama
mriyamAmam
muShTirvAs
mudamviShA
mudgIdAlis
mudgadAlId
mudhaivade
mugdhAdugd
mugdhAkAmt
mugdhAmAma
mugdhAsvap
mugdhasyak
mugdhasyat
mugdhedhAm
mugdhedorl
mugdhekima
mugdhemAma
mugdhemAmi
mugdhemugd
mugdhemumc
mugdheprat
mugdhesidd
mugdhetavA
mugdhevidh
muhUrtamap
muhuramupa
muhurlaxyo
muhurmuhUr
muhurvyaja
mukhAravim
mukhAravimdadat
mukhabhRtA
mukhairasa
mukhakRtab
mukhakamal
mukhamAtre
mukhamimdu
mukhamjRmb
mukhampAmD
mukhampadm
mukhampadmadalA
mukhampriy
mukhamtasy
mukhamvaha
mukhamvika
mukhamyadi
mukharayat
mukhasaroj
mukhavidhu
mukhehArAv
mukhemacha
mukhemagar
mukhemaike
mukhemamod
mukhemduch
mukheyadva
mukhyameka
muktAHkeli
muktAHpata
muktAbhAmR
muktAbhUSh
muktAhArag
muktAhAral
muktAhAram
muktAmamit
muktAphala
muktAtATam
muktAvalIs
muktAvidru
muktairyAs
muktakekav
muktamUlal
muktamaukt
mukteShura
muktekAmch
muktirhimA
muktomAmap
muktotkara
muktvAmamg
mukuTeropi
mukulitama
mumDIjaTIv
mumDaHpRch
mumDemumDe
mumDojaTil
mumchadbhi
mumchamtas
mumchamumc
mumchatimu
mumerapiva
mumirjayat
murArAtirl
murArimura
murAripada
muralitvay
