uChmashrur
udAmadvira
udAmadyuma
udAmajvala
udAmotkali
udArAmstva
udArachari
udArairmam
udArasyatR
udAsImAlIm
udAsImodev
udAtamadap
udAyudhoyA
udIchyAmsa
udIpitopik
udIptAgmir
udIritorth
udIrmamama
udIryamAme
udadheriva
udadhirava
udagragotA
udakAmalac
udakamchAg
udakesarva
udakesarvabIjAm
udakyApati
udamDakoka
udamDebhuj
udamajikai
udamchadgh
udamchadva
udamchamjI
udamchamtA
udamchatkA
udamchatkv
udamchayad
udamchayadRgamc
udamukhova
udamvAmiva
udamvachCh
udarArtham
udaradarIy
udaradvaya
udaraevadh
udaramatam
udarambhar
udarampari
udarasyeda
udarkabhUt
udasyadhai
udasyochai
udayAdreru
udayAstaum
udayaduday
udayagUDha
udayagirig
udayagiris
udayagirit
udayamayat
udayameSha
udayamprAp
udayamsamh
udayamtumA
udayamudit
udayaprabh
udayaprabhasUrI
udayashikh
udayasimha
udayasthaH
udayataTAm
udayatihRd
udayatihis
udayatikal
udayatimav
udayatitaD
udayatitap
udayatitar
udayativit
udayatiyad
udayesavit
udbaddhebh
udbamdhake
udbamdhama
udbhAsitAk
udbhAsitem
udbhAvyamA
udbhaTabud
udbhartRgA
udbhedampr
udbhiduram
udbhimAkal
udbhimasAt
udbhimasta
udbhimastabakAv
udbhimayau
udbhimkimi
udbhrAmtab
uddhRteShv
uddhRteShvapish
uddhUtAdhU
uddhUtakAm
uddhUtapAm
uddhUyadhU
uddhUyetam
uddhUyetat
uddharedAt
uddhartumd
uddhartumk
uddhatAala
uddhatairi
uddhatairm
uddhavamAd
udeShyatpI
udeshoyamk
udeshoyams
udetighama
udetipUrva
udetisavit
udetiyasyA
udetumatya
udgRhyavIT
udgachChat
udgamamopa
udgarbhahU
udgarjajal
udgarjamku
udgatAmath
udgatemdum
udghATitam
udghATyach
udghATyayo
udghAtayed
udgrAhashc
udgrAhasyA
udgrAhodhr
udgrIvAviv
udgrIvamkh
udgrIvasti
udhriyamAm
udiShTamva
udishyamiH
uditaHsama
uditairamy
uditamDala
uditampriy
uditamudit
uditavatid
uditavatip
uditebhAsk
uditedRShT
uditepitav
uditopituh
uditorusAd
udumbaradr
udumbaraph
udvAhAropi
udvAsayitu
udvIxyapri
udvRtadait
udvRtastam
udvRtastamabhAr
udvartayam
udvartitam
udveShTyas
udvegamjam
udvegasyam
udvejamIyo
udvejayati
udvejayatibhUtA
udvejayatibhUtAmiyas_1
udvejayatidarid
udvejayatitIxme
udvejayaty
udvijamtey
udvoDhumka
udyAmAmima
udyAmamAru
udyAmamkau
udyAmamvam
udyAmapAla
udyAmasaha
udyAmeShuv
udyAmesaha
udyAtyevas
udyachChat
udyadbAlAk
udyadbAlAm
udyadbarhi
udyadgamdh
udyaduHsah
udyadvidru
udyadviloc
udyadvivek
udyajvAlAv
udyalAvamy
udyamAdamd
udyamAkhyA
udyamChash
udyamIlabh
udyamIsidd
udyamaHkal
udyamaHsAh
udyamahAmi
udyamahIpA
udyamamkur
udyamamkurvatAm
udyamamkurvatAmpumsA_1
udyamasAha
udyamasyap
udyamemAst
udyamemahI
udyamemahi
udyamemaiv
udyamemavi
udyamemavimArAj
udyamevaja
udyamityam
udyamtumAm
udyamtusha
udyamtvamU
udyatArAdh
udyatArumy
udyatAsirm
udyatameka
udyatamsha
udyatasyah
udyatasyap
udyateShva
udyateShvapisha
udyatetaya
udyatkarak
udyatsaura
udyayaudIr
udyogAdami
udyogAmusA
udyogaHkal
udyogaHsAh
udyogaHsha
udyogaHxay
udyogamedh
udyogemAst
udyogemakR
udyogemavi
udyogimaHk
udyogimamp
ugrAbhiSha
ugrAvagrAh
ugragrAham
ugraiHshAp
ugrarUpamk
ugratvamch
ujADiteyad
ujAgaritab
ujRmbhAmam
ujRmbhatek
ujjhamtyaH
ujjhatIshu
ujjhitAham
ujjhitasau
ujjhitavRS
ujjhitvAdi
ujvalAloka
ujvalacham
ujvalaguma
ujvalamitr
ujvalamsar
uktAbravIS
uktAgachCh
uktamchava
uktamdurva
uktamparas
uktamyatkR
uktasutast
uktasyasha
uktemabahu
uktipratyu
uktirmAmyA
uktvAmRtam
ulApayamty
ulAsodhara
ulAsovirut
ulAsyakAla
ulAsyatAms
ulUkhalamy
ulamghyApi
ulamghyaja
ulamghyasa
ulasatsaur
ulasitabhr
ulasitabhrUdham
ulasitalAm
ulasitashI
ulbemasamv
ulekhamija
umAdAmbuda
umAdagadga
umAdamekep
umAkomalah
umAlamAbhi
umAmimAmsa
umAmimAmsamudvI
umArUpemay
umAtamUjem
umAtilakat
umAvRShAmk
umAvadhUrb
umIladambu
umIladrasa
umIladvada
umIladyauv
umIlalIlam
umIlamadhu
umIlamayam
umIlametra
umIlamiras
umIlamtiki
umIlamtimR
umIlamtima
umIlamtimi
umIlamukul
umIlatguDa
umIlatpula
umIlatpulakAkur
umIlatriva
umIlatyura
umIlayamti
umIlitamtU
umIlyAxisa
umItobhava
umRShTamku
umRShTapat
umUlitAlAm
umUlyAlAma
umUlyasita
umadatayAk
umagmacham
umajamakar
umatAmAmbh
umatAmAmbhujagA
umatAmAmch
umatAmAmsu
umatAvamat
umataHprol
umatadaxim
umatadhUrt
umataghama
umatakamTa
umatamAmas
umatamAsAd
umatampada
umatampati
umatamsada
umataprema
umateShush
umatevapra
umatopivis
umatyaimam
umayasakac
umayasakachagra
umayatimAb
umeShamyom
umiShamimi
umidrakamd
umidrakoka
umidrapriy
umidratAma
umidremama
umitaikabh
umrasvapay
umuchyasva
umudrIkRta
umuktAbhir
umuktakamc
umuktakram
umuktamAma
umukulitAd
umyadUramu
umyomyatat
umyomyatatraiva
upAdAtAyAv
upAdadetas
upAdhibhiH
upAdhistum
upAdhvamta
upAdhyAyAm
upAdhyAyam
upAdhyAyas
upAdhyAyashchav
upAlabhyom
upAmItamdU
upAmahauch
upAmtaprom
upArjitAmA
upAsateyat
upAsyamAmA
upAyAmAmch
upAyAyukta
upAyairapy
upAyairiva
upAyajmash
upAyakusha
upAyamAsth
upAyamIkRt
upAyamchim
upAyamyamp
upAyapUrva
upAyemahiy
upAyemahiyachCh
upAyemajay
upabarhama
upabhogAdR
upabhogAya
upabhogair
upabhogakA
upabhogema
upabhoktum
upabhoktumajAmA
upabhuktAs
upabhuktak
upabhuktam
upachArAmu
upachArAmumayAs
upachAraHk
upachAraHkartav
upachAravi
upachChamd
upacharitA
upacharitAharim
upacharita
upachitAva
upachiteSh
upadeshamv
upadeshapr
upadeshohi
upadeshohimUrkh
upadeshoma
upadhAshod
upadhitray
upadhivasa
upadishati
upadraShTA
upagUDhave
upagUhatid
upahAsAdik
upaharamam
upahitamsh
upaitigham
upaitisasy
upaitixArA
upajApaHkR
upajApahRt
upajApasah
upajApashc
upajIvatis
upajIvyAha
upajapyAmu
upakArAcha
upakArAdRt
upakArAyam
upakArAyay
upakAraHpa
upakAragRh
upakArakam
upakAramev
upakAramsm
upakAramsu
upakArapar
upakAraparaHsva
upakArapha
upakArapra
upakArasha
upakArashatemAp
upakArashc
upakArekRt
upakAremad
upakAremam
upakAremav
upakAriShu
upakArimam
upakArimiv
upakArimivItama
upakArimivishra
upakAropim
upakAryopa
upakRtamam
upakRtamba
upakRtavat
upakRtavatAshrI
upakRtirev
upakRtisAh
upakRtyabh
upakarotya
upakartAdh
upakartrAr
upakartuHk
upakartuHs
upakartuma
upakartumaprakA
upakartump
upakartumy
upakramamv
upalamikaS
upalashaka
upalaxyava
upamAkAlid
upamAkAlidAsasy
upamAmamab
upamItamIt
upamIyakal
upamIyapri
upamIyayam
upamadipul
upamatabha
upamatamat
upamayamav
upamayatik
upamayatim
upametumum
upamiShada
upamihitah
upamshukrI
upapammamu
upaparisar
upapatibhi
upaplavosa
upaplutamp
upaprAkArA
upapradAma
upariShThA
uparigatam
uparighama
uparighamamgham
uparijatar
uparikabar
uparikarav
uparimihir
uparipImap
upariparip
uparipayod
uparisthAb
uparitalam
uparitamAl
uparividhR
uparumdham
uparyaShTa
uparyamshu
uparyupari
upasamdhya
upasargAHk
upasargAHp
upasargair
upasargemy
upashamaph
upashamita
upashobhai
upasthitAy
upasthitaH
upasthitas
upasthitep
upasthitev
upasthitevivAhe
upatApyamA
upavImayam
upavamamav
upavamamiv
upavamapav
upavamasal
upavamatar
upaviShTaH
upavishati
upayayauta
upetaHkosh
upetyadhIy
upetyatAmd
upexamIyai
upexetapra
upexetasam
upexitAmAm
upexitaHxI
upexyaloSh
upexyapaxe
upoDharAgA
upoDharAge
upoShyaikA
upodakIsam
uptAkIrtil
upyamAmamu
upyamteviS
uraHkRtvAv
uraHpRShTh
uraHsthala
uragIshish
urasimihit
urasimipat
urasimurab
urasiphami
urastavapa
urasyasyab
urobhAvots
urobhuvAku
urobhuvima
urojAtAshc
urojavacha
uromAsadva
uroruhAdud
uroruhAmbh
urovishAla
urugumdyug
urvImaurvI
urvImgurvI
urvImgurvItimur
urvImudAma
urvIpatesh
urvashIyad
urvyAmkopi
urvyasAvat
ushamAveda
utAlAlakab
utAlApItah
utAlatATak
utAlatAlIv
utAmAHkati
utAmAmupad
utAmaphala
utAmauchar
utAmochChU
utAmolapit
utArakamat
utArayativ
utIrmabhAr
utIryadaxi
utIryapRSh
utamAAtmam
utamAHsvAr
utamAHsvag
utamAbhija
utamAdhama
utamAdhamamadhy
utamAdhamasamsa
utamAgodbh
utamAmAmap
utamAmAmsv
utamAmevas
utamAmutam
utamAshchA
utamAstAji
utamaHShaT
utamaHkles
utamabhuja
utamaiHsah
utamaiHsahasAmg
utamaiHsahasAmgatyam_1
utamaiHsvI
utamairama
utamairuta
utamakulep
utamampram
utamampramipAte
utamampuSh
utamamsuch
utamamsvAr
utamamsvArjitam
utamapadAr
utamarmadh
utamarmamu
utamashchi
utamastoSh
utamasyApi
utamasyApivarma
utamasyaxa
utamatarum
utamavamit
utamchadva
utamemotam
utametuxam
utamevighm
utamomAtiv
utamomadhy
utamopikul
utamoprArt
utamopyadh
utamorasav
utamsIkRta
utamsaHkek
utamsakaut
utamseShum
utamsitamb
utaptoyamu
utarAdutar
utarApatha
utarIyavim
utaragayak
utaramgaya
utaramtivi
utaratashc
utaremakim
utaremasad
utavAtRmav
utiShThArA
utiShThadU
utiShThamA
utiShThamt
utiShThati
utiShThava
utiShThaxa
utiShThaxamamek
utiShThaya
utiShThoti
utkAmumaya
utkIrmAiva
utkRShTaba
utkRShTama
utkRtyajva
utkRtyotkR
utkRtyotkRtyaga
utkUjamtuv
utkUjatibh
utkUjatish
utkaTakamT
utkalikAbA
utkalolasy
utkamThAku
utkamThAkulamas
utkamThaya
utkamThita
utkamThitasyahR
utkamThitasyahRdayAm_1
utkampagha
utkampimIb
utkampohRd
utkampopis
utkarShavA
utkarShoma
utkarmamka
utkarmoyam
utkartitum
utkhAtAmpr
utkhAtAmpratiro
utkhAtachC
utkhAtadai
utkhAtamid
utkhAyachi
utkhelatri
utkochakAs
utkochampr
utkochapAr
utkrAmadbh
utkrAmtAmA
utkrAmtamg
utkrAmtash
utpAdakabr
utpAdamama
utpAdayamt
utpAdayati
utpAdayaty
utpAditAsv
utpAdyakRt
utpAdyaput
utpAdyayat
utpAtAyach
utpAtajamC
utpAtakamt
utpAtaketu
utpadyamte
utpalasyAr
utpalasyac
utpalasyah
utpalavaiv
utpamAHsar
utpamAbaha
utpamAmApa
utpamapari
utpamaputr
utpamasyar
utpameShuc
utpamihalo
utpamoghaT
utpamsudhi
utpashyAmi
utpatamtIb
utpatamtiy
utpatamtva
utpatatopy
utpatetsar
utpathAdur
utpathemak
utpatiHpay
utpatipari
utpatirdev
utpatireva
utpatirjam
utpatirmal
utpatirmar
utpatrevad
utpatyutpa
utpaxmamor
utphAlamhe
utphulAmal
utphulAmav
utphulArju
utphulagal
utphulagalairAl
utphulairb
utphulakam
utphulamAm
utphulapad
utphulapak
utphulapakajava
utphulapam
utphularam
utphulasth
utphulatAp
utplutyAgR
utplutyArA
utplutyadU
utplutyaya
utpravAlAm
utpuchChAm
utpuchChaH
utsAhAtish
utsAhaHsyA
utsAhakAra
utsAhaprab
utsAhasamp
utsAhashak
utsAhashaktihIm
utsAhasyap
utsAhavamt
utsAhavamtohima
utsAhitAsa
utsAhobala
utsAhobalavAmAr
utsAhoddha
utsAhomjhi
utsAhoripu
utsAramapr
utsAritoha
utsAryakum
utsIderamp
utsRShTama
utsRjyAmbu
utsRjyagIt
utsRjyajal
utsRjyakus
utsRjyasAd
utsRjyavim
utsagaiHsa
utsagevAma
utsamApama
utsamachCh
utsamomadh
utsaragaka
utsaramgar
utsarpaddh
utsavAdapi
utsavAduts
utsavevyas
utsiktaHku
utsiktasya
utsraShTum
utthAmadhI
utthAmahIm
utthAmamab
utthAmamhi
utthAmamsa
utthAmamtu
utthAmayuk
utthAmemAm
utthAmemai
utthAmesab
utthApitaH
utthApyabh
utthAtavya
utthAyahRd
utthAyapas
utthAyomat
utthAyotth
utthAyotthAyabo
utthAyotthAyaboddhav_1
utthAyotthAyaboddhavyamahad_1
utthAyotthAyalI
utthitAeva
utthitAgra
utthitomis
utugAdamil
utugaistar
utugamatam
utugapIvar
utugashail
utugashailashik
utugashailashikharem_1
utugastama
utugastamabhAra
utugastamabhara
utugastamamamDa
utugastamamamDalopar_1
utugastamaparva
utugastamashail
utugavAtAy
utugekRtas
utugevibha
utumgaista
utumgamata
utumgashai
utumgastam
utumgastamabhAr
utumgastamabhar
utumgastamashai
utumgavAtA
utxiptAapi
utxiptAapihastI
utxiptabAh
utxiptamka
utxiptamsa
utxiptamsahakau
utxiptamuC
utxipyAlak
utxipyaTiT
utxipyakar
utxipyakaribhir
utxipyocha
uvAchadhAt
