dAmArthimo
dUtishvAsa
dUtitvamta
dUtitvayAk
dUtomasamc
dUyedurmed
dUyekAmtAk
daShTatAma
daShTejaga
dadAtiprat
dadRshepib
dadatamamt
dadatjalam
dadatoyudh
dadaurasAt
dadhAmaHpr
dadhatikuh
dadhatimaj
dadhatisph
dadhatitAv
dadhatyadh
dadhauhari
dadhimadhu
dadyAtsAdh
dagdhAsAba
dagdhamkhA
dagdhovidh
dahamajAma
dahyamAmAH
dahyamAmep
daimyamkva
daityAmAma
daityAmAmasiday
daityArAti
daityAsthi
daityemdrA
daivAdaham
daivAdapyu
daivAdyady
daivAtpash
daivIrgira
daivIsampa
daivajmatv
daivavashA
daiveparAg
daladamala
dalamatasp
dalatihRda
dalavitati
dalitakoma
dalitakuch
dalitamauk
dalitepalA
damDaHshAs
damDamItir
damDodamay
damDyamAmA
damShTrAsa
damShTrAsamdhim
dambhemalo
dambhodarp
dambholisp
dampatyorm
damtAHsapt
damtAgrami
damtAlidAD
damtAmAmad
damtAmchal
damtAmtaku
damtAvadam
damtAvishl
damtImdrad
damtahImas
damtaiHkor
damtaiHpra
damtairhIm
damtairuch
damtaprabh
damtasyami
damtidamta
daralalita
daraphulak
daravigali
daridrAmbh
daridramud
daridrasya
daridratAd
darpAmdhag
darpamArpi
darpameShu
darpamkavi
darpodreka
darshamAdg
darshamamA
darshamapa
darshamtis
darshemdut
darshitAmi
darshitatA
dashakUpas
dashakaira
dashopamiS
datamAtava
datamayApa
datamiShTa
datejamosa
datosyAHpr
datvAdhair
datvAdishi
datvAkaTAx
dauhRdasyA
daurgatyem
daurjamyam
daurmamtry
davadahamA
davadahama
daxaHshriy
daximAshAp
dayAyAbhag
dayitAbAhu
dayitAmibi
dehArdhAma
dehArdhavi
dehItivach
dehItivakt
dehachChaT
dehamhemad
dehedurlal
dehepAtimi
dehidehIti
dehimatkam
dehorogami
deshATamam
deshAmAmup
deshAmutsR
deshaHsoya
deshabhamg
deshairamt
deshedeshe
deshedeshedurAs
deshedeshejaDim
devAdaityA
devAdhipov
devAdikpat
devAmAmida
devImAtAsu
devImvAcha
devIsUmuma
devaHpAyAd
devaHpAyAt
devabhAShA
devabrahmA
devadvijag
devairyady
devarAjoma
devashrImR
devastraig
devatAxetr
devatvAbha
devatvadAm
devatvadbh
devatvadbhujada
devatvadga
devatvadvi
devatvadvijayod
devatvadya
devatvadyashasA
devatvamal
devatvamam
devatvamev
devatvamja
devatvatka
devatvatkarapad
devatvatkarumap
devatvatkarumapratAp_1
devaxIrasa
devedigvij
devemaprat
deverpitav
devetIrthe
devevarSha
devitvadva
devoharirv
devyAHprAk
deyambhohy
didRxamAma
digIshavRm
digambaram
digamtekhe
digamteshr
digbAlAkar
digvibhram
digyamtrat
dikAlAdyam
dikAlAtmas
dikchakram
dikshrItam
dilIshvaro
dimAgAHpra
dimAmtesmA
dimArImAms
dimDalImuk
dimDalampa
dimUDhamta
dimakaraka
dimamamira
dimamavasi
dimamekams
dimataptAm
dimayAmimy
dishAmhArA
dishidishi
dishidishimRgay
dishidishiparih
dishyAdvaH
dishyAmahA
dishyAtsas
dishyAtsuk
divAmisham
divApashya
divArajamy
divamapyup
divasambhR
divasaraja
divaseghaT
divisAmdhy
divyachaxu
divyamchUt
divyamchUtaphal
divyamvAri
doShAgamam
doShAkarop
doShAlokam
doShAmapig
doShabhIte
doShajAtam
doShapoSha
doShogumAy
doShopigum
dolAyAmjag
dorbhiryuk
dorbhyAmsa
dorbhyAmti
dordamDAmc
dordamDadv
dordamDadvayaku
dordyotada
dormUlamkh
drAgAkramy
drAgaimdrI
drAghIyAms
drAghIyasA
drAviDAvAm
drAxAmlAma
drAxAmprad
draShTavya
draShTavye
draShTavyo
dravatvAts
dravimArja
dravyaprak
dravyashau
drohobhaya
drumAHpAmD
drutadrava
drutamyasy
drutasamIr
drutashAta
drutatarak
drutataram
duHkhamdIr
duHkhamduH
duHkhemash
duHprapama
duHsahasam
duHsahatAp
duShTAbhAr
duShTAvimI
duShTaHsha
duShTairap
duShprexya
dudohagAms
dugdhAmbho
dugdhamcha
dukUlamdor
dumdubhish
dumdubhist
durArAdhyA
durArAdhyAHshri
durArohamp
durAsadAma
durAshevad
duradhItAv
duradhigam
durbalasya
durbhAShAd
durbhagaHs
durbodhamy
durdaivapr
durdimamis
durdivaseg
durgAmadIs
durgAmirAj
durgRhItam
durgadesha
duritasamU
durjamaHkR
durjamaHpa
durjamaHparihar
durjamaHpr
durjamaHsa
durjamaHsu
durjamaHsujamIk
durjamadUS
durjamagam
durjamahut
durjamairu
durjamampr
durjamasah
durjamavac
durjamavad
durjamemas
durjamodUS
durjamodoS
durjamojIy
durjamomAr
durlIlapal
durlabhams
durlabhopy
durmamtrIr
durmamtrim
durvArAHsm
durvArArAt
durvAravAd
durvAravIr
duryodhama
dushcharit
dvAramdvAr
dvAramdvAramaTa
dvAramgRha
dvAramkhaD
dvAramodgh
dvAredvAre
dvArekalpa
dvAreruddh
dvArichaxu
dvAripravi
dvAristamb
dvAropAmta
dvAsuparmA
dvAtrimsha
dvAvevachi
dvAvimAvam
dvAvimaupu
dvAvimaupuruSha
dvAvimaupuruShauloke_1
dvAvimaupuruShaulokemabhUta_1
dvAvimaupuruShaulokeshiraHs_1
dvAvimaupuruShaulokesvargas_1
dvaitambam
dvamdvodvi
dvayamgata
dvayamidam
dveShidveS
dveShyAkIr
dveShyopis
dvebrahmam
dvekarmamI
dvepadebam
dviHsharam
dviShAprAs
dviShaShTi
dviShatAmu
dvidhAbhaj
dvidhAvidh
dvigumakaT
dvijAapima
dvijakulap
dvijarAjas
dviradadam
dvirbhAvaH
dvitraiHke
dvitrairvy
dyAmArohat
dyAmirumdh
dyUtamChal
dyUtampust
dyUtamyoya
dyUtemitha
dyutimvaha
