sATopavyom
samgrAmaxo
samgrAmema
samgrAmeri
samgrAmesp
samgrAmesu
samgrAmodi
samgrahamA
samhArakAl
samigRhyac
samihitepi
samikarSho
samitipati
samjAtapat
samjAtedra
samjAtodvi
samjagmAte
samjahAras
samkaTemac
samketakel
samketakum
samkhyeyAm
samohayamt
sampAditAH
sampUrmaku
sampadamat
sampadiyas
sampadomah
sampadyAst
sampamaram
sampatauka
sampatauko
sampatayaH
sampatkasy
sampatsara
samprApmuv
samprAptac
samprAptam
samprAptev
sampratima
sampraveSh
samputsuma
samrambhod
samsArAtap
samsAraika
samsArakaT
samsArarAt
samsArasAk
samsArayat
samsAresmi
samsAresmimasAr
samsaditad
samsaktAmi
samsevitab
samshliShT
samskArakr
samstitasy
samtApamja
samtApamoh
samtApayac
samtApitAm
samtaHsach
samtaHsvat
samtaevasa
samtamevac
samtaptash
samtashcha
samtashche
samtashchedamRt
samtastRmo
samtatamus
samtatoday
samtikUpAH
samtishvAm
samtisiddh
samtisvAdu
samtoShAmR
samtoShaHp
samtoShamp
samtoShast
samtoShaxa
samtomamas
samtopimav
samtopisam
samtrimAva
samtuShTet
samtuShTob
samtuShyat
samtudrumA
samtuvilok
samtvashvA
samtyajyas
samtyamyep
samtyekedh
samtyekepi
samtyevAtr
samtyevali
samtyevapr
samudIpita
samudgiras
samuditaku
samudrAvar
samudrasyA
samudravIc
samudremAm
samudyatek
samulAsovA
samulasadi
samulasatp
samumatagh
samupAgata
samutIrmet
samutpatiH
samvaramAy
samvardhit
samviShTog
samvidhAtu
samxipyach
samxipyeta
samxobhamp
samyAsamak
samyagamiS
samyagvich
samyastabh
samyojayat
samyuktami
sapAtuvome
sapAtuvoya
sapAtuvoyasyaha
sapadikumu
sapadisakh
sapaxolabh
sapaxolabhatela
sapimDatAt
sapratibam
saptaShaSh
saptaitAmi
saptatishc
saracharis
sarajasama
sarajaskAm
saralAbaha
saralapriy
saraleevad
saralesAha
sarasApika
sarasAsAla
sarasItoya
sarasapari
sarasibahu
sarasvatIm
sarasvatIp
sarasvatIs
sarasvatIv
sarasvatip
sargAmAmAd
saroShadaS
saroShayud
saroruhAmA
saroruhAxI
saroruhamt
sarpAHpiba
sarpAmAmch
sarpAmvyAg
sarpIvaiSh
sarpaHkrUr
sarpadurja
sarpasyara
sarpatsAri
sarvAHsamp
sarvAshApa
sarvAshAru
sarvAshuch
sarvAstumb
sarvAtirik
sarvaHkaly
sarvaHkilA
sarvadAsar
sarvadevam
sarvadevamayasy
sarvadravy
sarvaevaja
sarvahimsA
sarvajmaHs
sarvajmait
sarvajmema
sarvalokap
sarvamAshe
sarvamAshesamut
sarvamamya
sarvambala
sarvamlumT
sarvampara
sarvamsahA
sarvamvama
sarvastara
sarvasvApa
sarvasvApaharom
sarvasvamg
sarvasyAsy
sarvasyadv
sarvasyaiv
sarvasyaja
sarvasyamu
sarvasyasa
sarvatIrth
sarvathAdh
sarvathAsa
sarvathAsv
sarvathAvy
sarvatojay
sarvatrasa
sarvatrasarvadA
sarvatrodg
sarvavyAkh
sarveShAme
sarvebrahm
sarvedhvAm
sarvemdriy
sarvepivis
sarvexayAm
sarveyatra
sarvodvega
sarvopamAd
sasatvaram
sashrIkamT
sasmigdhok
sasuhRdvya
sasyAmisva
satAmsamAl
satAmsatam
satImapijm
satatamshl
satidrAxAp
satikAkuts
satipradIp
satkaumaml
satkaviras
satpAdapAm
satpAtropa
satpUruSha
satpaxARja
satsAdhuvA
satsAmgaty
satsUtrasa
satsamgAtb
satvAdisth
satvAtsamj
satyAmRtAc
satyAmusAr
satyAsakta
satyAsaktamamAg
satyabhAmA
satyadharm
satyadharmAryav
satyambrUy
satyamdurl
satyamevag
satyamgumA
satyamoram
satyamsAba
satyamsamt
satyamsamx
satyamsaty
satyamshau
satyamtady
satyamtapa
satyamtapo
satyamtvam
satyamvakt
satyamvivR
satyapicha
satyaprash
satyashIla
satyasyava
satyemabra
satyemadhA
satyemotpa
saubhAgyam
saubhAgyar
saudhAdudv
saugamdhya
sauhArdasv
sauhRdemap
saujamyAmR
saujamyAmb
saujamyadh
saukaryami
saumdaryam
saumdaryap
saumdaryas
saumdaryasyamam
saumitrema
saurabhama
saurabhyag
saurabhyam
saurabhyamRgalA
saurabhyec
saurabhyem
saurabhyemasamA
sauvarmAmi
sauvarmAmk
sauvarmaHk
sauvarmaka
savelAvapr
savikachot
savitAvidh
savrIDAday
savrIDArdh
savyAdheHk
savyAjamti
savyArdhav
savyAsavyo
savyadaxim
savyalIkam
saxArojala
saxatriyas
semAparich
setUpakram
setumsambh
sevakaHsvA
sevevamAma
sevitavyom
seyamAmgeS
seyamRduHk
seyamsIdhu
seyamsthal
siddhamamt
siddhamsat
siddhimvAm
sidhyamtik
siktAyAmvI
siktamspha
simdUrAmIv
simdUradyu
simdUramra
simdUramsI
simdUraspR
simdhoHsud
simdhorjai
simdhuShva
simdhustar
simhAdekam
simhaHshis
simhamakra
simhovyAka
simjAmairm
sitAmshuva
sitakirama
sitamvasam
skamdhAmsi
skamdhevim
skamdhopam
skhaladams
skhalitAch
smAmAmbhob
smAmArdram
smAmamAmam
smAmamsimd
smAmamvAri
smAmavairI
smAmopavAs
smAmtImAmb
smAramdham
smArasmera
smAtAHprAv
smAtAtiShT
smAtaHsvar
smAtastvad
smAtumvAmC
smAyamsmAy
smRtImAmvi
smRtyorvir
smaradavat
smarahutAs
smarakalpa
smaramAmas
smaramRsha
smarashara
smarasharadhimi
smaratorab
smartavyAv
smartavyoh
smayamAmam
smehachChe
smehamirbh
smehamsvIk
smehasamva
smehemabhU
smehohivar
smehopapam
smerAHsamt
smerAdisha
smerAmamem
smeramvidh
smerarAjIv
smigdhAgrA
smigdhamAl
smigdhamya
smigdhasme
smigdhavRd
smigdhemdr
smigdheyat
smitajyots
smitajyotsmAbhi
smitamkimc
smitapuShp
smitemabhA
smitemopAy
soDhaprauD
soDumalama
soShmamast
sohamAjama
somArdhAyi
somaHshauc
somakAmtom
someShomas
sopAmAmiti
sopUrvoras
sopachAram
sosyadoSho
spRShTAkRS
spRShTAyem
spRShTastv
spRShTolas
spRhamIyAH
spRhayatib
spRshamapi
spRshatiti
spardhamtA
sparshaHst
sparshamAt
sphAremasa
sphItamshI
sphItoyamj
sphUrjadbr
sphaTikasy
sphuTamasa
sphuTamida
sphuTamivo
sphuTamsph
sphuTatara
sphuTatuhR
sphuradadb
sphuradadh
sphuraddha
sphuradrom
sphuradura
sphuramAmA
sphuramtaH
sphurasibA
sphuratkuv
sphuriteja
sragdAmamU
sramsamAma
srastAmita
stUyatestU
stabdhasya
stamAbhoge
stamAmtemo
stamAtaTec
stamabhArA
stamabhAro
stamachamd
stamakalas
stamamamDa
stamamdhay
stamamdhayamtam
stamamyast
stamaparis
stamataTam
stamaubhAr
stamaumAms
stamautumg
stamayugam
stamayugamuktAb
sthAmAmirg
sthAmaevam
sthAmamAhm
sthAmamAst
sthAmeShus
sthAmesham
sthAmesthA
sthAmuHsva
sthAyimort
sthUmAyAma
sthagayati
sthagayatitamaH
sthagitAmb
sthalImAmd
sthalakama
sthirApAya
sthirAshai
sthiratvam
sthitepisA
sthitimore
sthitirgeh
sthitomakh
sthitvAdha
sthitvAxam
sthityaida
stokAmbhaH
stokAstras
stokomidra
stotAraHke
stotramcha
strIShumar
strIShupra
strIbAlasv
strImAchap
strImAmash
strImAmdvi
strImAmhis
strImAmyau
strImudrAm
strIrUpamo
strIvimash
striyaHpav
striyashch
striyastuy
striyohimA
striyohimU
striyohyak
striyovatA
stryAlokAl
stumaHkamv
stutamstuv
stuvadbhav
stuveshiva
suShamAviS
subhAShita
subhAShitaiHprI
subhAShitajmema
subhAShitamhAri
subhAShitarasAs
subhAShitarasAsvAdaH_1
subhAShitasyAdh
subhAShite
subhagamva
subhagasal
subhagatav
subhagatva
subhagekoT
subhixamkR
subhrutvam
subhrutvamavamI
subhruvAma
suchiramku
sudIrghArA
sudhAbaddh
sudhAdhAma
sudhAkarak
sudhAmayop
sudhArashm
sugRhItama
sugamdhamk
sugatoyadi
sugatoyadisarva
suhRdAmhid
suhRdAmhit
suhRdAmupa
suhRdastar
suhRdimira
sujIrmamam
sujamAmAma
sujamamvya
sujamomayA
sukaparivi
sukaveHsha
sukavidvit
sukhArthIt
sukhaduHkh
sukhalavad
sukhamApat
sukhamarth
sukhamedha
sukhamhidu
sukhamshet
sukhashayA
sukulajama
sukuleyoja
sukumArama
sulabhAHpu
sulabhamva
sumadhyevA
sumahAmtya
sumamovara
sumamtrite
sumamtritesuvik
sumdarIsAb
sumerushik
sumukhaHsu
sumukhemav
sumukhopis
supAtradAm
supUrAsyAt
suparmaHsv
suptovastr
suputraHkh
surAmAmpAt
surAsurash
surUpampur
suramamdir
suratabhar
suratamtad
suratavira
suratechas
susamdigdh
susamhatai
susamvRtai
sushIlaHsv
sushIlomAt
sushyAmAch
susitavasa
sutabhRtya
sutampatam
sutamuhRda
sutamujahi
sutamujahihimau
sutamushru
suvAsimIHk
suvRtasyai
suvadamAva
suvarmAlam
suvarmaiHp
suvarmapuS
suvarmasya
suvarmavar
suvijmashc
suviralama
suvyavasAy
svAdamemas
svAdhImAda
svAdhImaiv
svAdhImemA
svAdhImepi
svAdhImora
svAdhyAyem
svAdhyAyemityay
svAditaHsv
svAmIkupya
svAmImiHsh
svAmImishv
svAmImugdh
svAmIsambh
svAmimbham
svAmimprab
svAmodavAs
svAmtevaib
svAmyAdesh
svAmyAdiSh
svAmyamAty
svAmyepesh
svAmyuktey
svArthamdh
svArthamir
svAtamtrya
svAtmamyev
svAyatamek
svIyAHsamt
svIyodAmap
svabAlabhA
svabhAvAra
svabhAvaka
svabhAvama
svabhAvamajahAt
svabhAvash
svabhAvasu
svabhAvema
svabhAvemahituS
svabhAvomo
svabhAvomopades
svachChamd
svachChamdaikas
svachChamdamdal
svachChamdamhar
svachChamdavama
svachitapa
svadRshorj
svadeshajA
svadeshaja
svadharmam
svagumAmiv
svairamkar
svairamsas
svajAtIyam
svajAtIyav
svajamaHsv
svakAmtada
svakIyamhR
svakapolem
svakeliles
svalpAitir
svalpApisA
svalpambrU
svalpasmAy
svamAbhiga
svamastaka
svaparapra
svapaxachC
svaphalami
svapmAsAdi
svapmedRSh
svapmepide
svapmepisa
svapmepixi
svaprajmay
svarasemab
svarbhAmuH
svarbhAmup
svarbhAmur
svarematas
svargAdgop
svargAmarg
svargachyu
svargasthi
svargaukob
svargekalp
svargevAsa
svarlokasy
svarmAvadA
svarmachCh
svarmaiHsk
svarmaimAj
svarvAmAmR
svasthAmAd
svastisvAg
svastixatr
svastyastu
svasukhami
svasvavyAp
svataHprak
svavashaHk
svayamapib
svayamaprA
svayambhUH
svayamkarm
svayampamc
svayampram
svayamsamr
svechChAbh
svechChAke
svechChAra
svedAmbhaH
svedArdrav
svedakledi
svedasteka
svedasyamd
svemasvame
svesvekarm
svimaugamD
svimkemamu
svimmamDal
syAdatyamt
syAdevatoy
