aShTAbhiHk
adRShTamuk
adRShTapUr
adRShTapUrvAbah
adRShTapUrvAmAd
adRShTapUrvamas
adRShTavyA
adRShTedar
adRShyamti
adUragamam
adaHsamits
adabhramab
adaivamdai
adamDamama
adamDyAmda
adamaspRha
adambhAhir
adarshamAd
adarshamAdApati
adarshamed
adatAmAmup
adatabhukt
adatadoShe
adatamAdat
adatetyAga
adayadasha
adayamghar
adbhUyetat
adbhiHshud
adbhirgAtr
adbhutasta
adbhyogmir
adeshakAlA
adeshakAle
adeshastho
adhAripadm
adhArmikAm
adhArmikom
adhAxImola
adhIrAxyAH
adhIraHkar
adhIshvapu
adhItapamc
adhItasyac
adhItavidy
adhItavyav
adhItetuma
adhItibodh
adhItyacha
adhItyachaturov
adhItyachaturovedAms_1
adhItyamIt
adhItyasak
adhItyaved
adhItyedam
adhIyItabr
adhIyatevi
adhRtapari
adhRtayadv
adhaHkaroS
adhaHkarot
adhaHkurva
adhaHpashy
adhaHpashyasiki
adhaHpashyatiki
adhaHpuShp
adhaHshete
adhaHsthAr
adhaHxipam
adhamAHkal
adhamAapit
adhamAdham
adhamAdhamamich
adhamAdhamamichChamt_1
adhamambAd
adhamamitr
adhamamkha
adhamarmas
adhamemArt
adhamesamg
adhamodAtu
adhamolaxa
adhamomAtu
adhamoyamd
adharAmRta
adharAmRtamAdhu
adharAmRte
adharShitA
adharaHkis
adharaHpad
adharadyut
adharamadh
adharamadhareka
adharamamR
adharamkha
adharamkil
adharasyam
adharebimd
adharemadh
adharemasa
adharemava
adharemoma
adharevimi
adharmAdar
adharmaHsu
adharmaHxa
adharmadam
adharmadamDamam
adharmadro
adharmamam
adharmamdh
adharmamdharmav
adharmapra
adharmaruc
adharmasAd
adharmastu
adharmeShu
adharmemac
adharmemai
adharmepat
adharmopAr
adharmopac
adharoShTh
adharosauk
adharoyama
adhashchad
adhastAchC
adhastamas
adhiShThAm
adhibhilap
adhidehali
adhigagama
adhigamama
adhigamyAs
adhigatama
adhigatapa
adhigatyed
adhikArAbh
adhikAraRm
adhikArema
adhikaHsyA
adhikarata
adhikasita
adhikomata
adhilavamg
adhipamcha
adhirajami
adhirajamimukhe
adhirajamipriay
adhirajamivyAdh
adhirohAry
adhishrIru
adhiyAmimi
adhodRShTi
adhodhaHpa
adhogatimc
adhomukhIs
adhomukhai
adhordhela
adhordheva
adhovidhAm
adhruvehis
adhruvemas
adhumAdadh
adhumAmadh
adhvAgrajA
adhvAjarAd
adhvAjarAm
adhvAmamai
adhvAmayad
adhvaklAmt
adhvamImot
adhvamipad
adhvamyAHk
adhvamyAmA
adhvamyAmk
adhvamyadh
adhvamyadhvamib
adhvamyair
adhvamyasy
adhvashrAm
adhvashram
adhyAhAraH
adhyAhAras
adhyAkrAmt
adhyApamam
adhyApayam
adhyApitas
adhyApitos
adhyAsAmAs
adhyAsImAs
adhyAsitev
adhyAsyasa
adhyAsyash
adhyAyodha
adhyastAmd
adhyayamam
adhyetimRt
adidehalih
adoShAdoSh
adrAxIdapa
adrAxuryem
adraujIrma
adreHkimsv
adriShvamj
adrohaHsar
adrohaHsha
adrohasama
adrohemaiv
adrohesama
aduShTApat
adurgaviSh
adurgoviSh
advAremavi
advaidhamA
advaitamek
advaitamsu
advaitokti
adveShapes
advisamvIx
advitIyami
adyAbhogim
adyAmbhaHp
adyApichAT
adyApidhAv
adyApidurm
adyApihari
adyApihimR
adyApikoka
adyApikopa
adyApimAma
adyApimAru
adyApimUma
adyApimasp
adyApimemi
adyApimeva
adyApimirm
adyApimojj
adyApirojj
adyApisAma
adyApisAmamasis
adyApishIt
adyApishra
adyApistam
adyApisumd
adyApitAmR
adyApitAma
adyApitAmaHpari
adyApitAmabhivi
adyApitAmadamam
adyApitAmahamal
adyApitAmakhalu
adyApitAmalamas
adyApitAmamibhR
adyApitAmamumay
adyApitAmamumayatyap_1
adyApitAmarumay
adyApitAmasRmac
adyApitAmavahit
adyApitAmavavay
adyApitAmavigam
adyApitAmayidRs
adyApitAmayigat
adyApitAmayikRt
adyApitAmayikap
adyApitAmayimim
adyApitAmb
adyApitAmc
adyApitAmd
adyApitAmg
adyApitAmgalita
adyApitAmgamama
adyApitAmi
adyApitAmibhRta
adyApitAmidhuva
adyApitAmidhuvamemad_1
adyApitAmimRduv
adyApitAmimamac
adyApitAmimamachetas_1
adyApitAmipariv
adyApitAmismita
adyApitAmitaita
adyApitAmj
adyApitAmjagham
adyApitAmjhaTit
adyApitAmk
adyApitAmkaTisa
adyApitAmkamaka
adyApitAmkamakachamp_1
adyApitAmkamakapatra_1
adyApitAmkuTila
adyApitAmp
adyApitAmpratha
adyApitAmprathamamev_1
adyApitAmprathamasam_1
adyApitAmpumaHk
adyApitAmr
adyApitAms
adyApitAmsalali
adyApitAmsamapa
adyApitAmshikha
adyApitAmstimit
adyApitAmsumipu
adyApitAmsurabh
adyApitAmsurata
adyApitAmsuratajAgar_1
adyApitAmsuratalabdh_1
adyApitAmsuratatAmDa_1
adyApitAmsuratatAmDavasUtra_1
adyApitAmsushay
adyApitAmsuvada
adyApitAmsuvadamAmst_1
adyApitAmu
adyApitAmubhaya
adyApitAmupavam
adyApitAmurasij
adyApitAmv
adyApitAmvidhRt
adyApitAmvihasI
adyApitAmviraha
adyApitAmx
adyApitAmxitita
adyApitAmy
adyApitadv
adyApitadvikasi
adyApitama
adyApitamadamak
adyApitamasisam
adyApitata
adyApitatk
adyApitatkRtaka
adyApitatkamaka
adyApitatkamakaremug_1
adyApitatkamala
adyApitatp
adyApitatpracha
adyApitats
adyApitatsurata
adyApitatsuratakeliv_1
adyApitiSh
adyApivAsa
adyApivism
adyApiyema
adyApyaham
adyApyahamsaras
adyApyahamvarav
adyApyahamvikac
adyApyahoj
adyApyasho
adyApyatya
adyApyudya
adyApyumad
adyArabhya
adyArabhyamahip
adyArabhyayadip
adyAshamam
adyabhomid
adyadhArAm
adyadhArAs
adyadyUtaj
adyaikeprA
adyaivahas
adyaivakur
adyaivakuruyaCh
adyaivasha
adyaivashv
adyaivayat
adyamesaph
adyaprabhR
adyaprabhRtihel
adyasaprav
adyashItam
adyasumdar
adyasvAmja
adyasvarga
adyatamoyo
adyayAvada
adyedamshv
adyeshvarA
adyodyAmag
adyomIlama
adyotsamga
agAdhahRda
agAdhajala
agAdhajalasamch
agAdhemApi
agAgAmgAmg
agAresmimk
agUDhahAsa
agUDhavibh
agadArkama
agadaiHsar
agajAmamap
agamitagum
agamitagur
agamitamij
agamitayas
agamyAmipu
agamyArtha
agamyagama
agamyomamt
agasagAtat
agastihast
agastituly
agastyaiva
agastyasya
agastyemap
agatImAmkh
agatitvama
aghRShTami
aghaTitagh
aghaTitamg
aghamsakev
agmaudagdh
agmaukriyA
agmauprApt
agmauprAst
agmauprAstAhuti
agmeraxaja
agmeryathA
agmiHstoko
agmiShTomA
agmidAhema
agmidogara
agmihotram
agmihotramadhIt
agmihotramgRham
agmihotramtrayo
agmihotramtrayovedAs_1
agmihotramukhAv
agmihotrap
agmihotreS
agmikumDas
agmikumbha
agmimAbhas
agmimprApy
agmimstoka
agmirApaHs
agmirdahat
agmirdevod
agmirgurur
agmirhidev
agmishtejo
agmyAdhAme
agmyAkAram
agrAhyAmUr
agrAhyamhR
agrAhyamsh
agrachChAy
agrasAmuSh
agrataHpRS
agratashch
agratovAma
agredIrgha
agredhamuH
agregItams
agregachCh
agrekasyac
agrekugrAm
agrelaghim
agremAhiSh
agreprastu
agresarIku
agreshyAma
agrestrIma
agretaptaj
agretiShTh
agrevikIrm
agrevyAdha
agreyAmtir
agryomukti
agumakamog
agumasyaha
agurorapis
agururitiv
agurusurab
ahAmyastam
ahApayamRp
ahAryaHsar
ahAryemaka
ahImabhuja
ahImakAlam
ahImdrAmpA
ahRtahRday
ahahachamD
ahahagRhIk
ahahakarma
ahahakimad
ahahamayam
ahahasahaj
ahalyAkeli
ahamachets
ahamahAmas
ahamahamik
ahamapipar
ahamashyAm
ahamasmimI
ahamayamaj
ahambhAvAt
ahamchadev
ahamchatva
ahamekomam
ahametyapa
ahametyeva
ahamevabal
ahamevagur
ahamevamat
ahamhisama
ahamihakRt
ahamihasth
ahamivadim
ahamivashU
ahamkArakv
ahamkArodh
ahamkRteHp
ahamkimamb
ahamrathAm
ahamrudrAy
ahamsadApr
ahamtAvama
ahamtamIyA
ahamtemAhU
ahamvoraxi
ahamyahami
ahamyahamibhUtA
ahamyahamibhUtAmisRj_1
ahamyahamiyAcha
ahamyahamy
ahamyuvara
aharamkasy
aharmishAv
aharmisham
ahastAmisa
ahauvAhAre
aherivagam
aherivagum
ahetuHpaxa
ahetubhrUk
ahetuhasam
ahibhUSham
ahibhavama
ahimRpamch
ahimsAdhAm
ahimsApUrv
ahimsApara
ahimsAparamodha
ahimsAparamodharmohy_1
ahimsAparamoyaj
ahimsAprat
ahimsAsUmR
ahimsAsUmRtAste
ahimsAsaty
ahimsAsatyamast
ahimsAsatyamasteyamb_1
ahimsAsatyamasteyams_1
ahimsAsatyamasteyamshaucham_1
ahimsAsatyavach
ahimsAsatyavachamamA_1
ahimsAsatyavachamams_1
ahimsayaiv
ahimsrasya
ahirAjaHpu
ahirahirit
ahiramyama
ahirbiDAlo
ahiripupat
ahirivajam
ahitAdamap
ahitAtprat
ahitahitav
ahitamchah
ahitehitab
ahitehitam
ahiteprati
ahitumDika
ahmastrish
ahmibhAska
ahmiravird
ahoahImAma
ahoahamoma
ahoahobhir
ahoahobhirmahim
ahoaishvar
ahoamauchi
ahobAmasya
ahobatakha
ahobatamah
ahobatasab
ahobatasar
ahobatavic
ahobhAryAa
ahobhavati
ahobhuvaHs
ahobrahmam
ahodAmamah
ahodaimyam
ahodhArShT
ahodhAtrAp
ahodhamAmA
ahodhamama
ahodhamuSh
ahodivyamc
ahoduHkham
ahoduramtA
ahoduramtAsamsA
ahodurjama
ahodurjasa
ahoeShAmva
ahogumAHsa
ahogumAmAm
ahohimebah
ahokAlasya
ahokamakam
ahokathama
ahokemedRs
ahokhalabh
ahokhalabhujamg
ahokimapic
ahokimapit
ahokuTilab
ahomAyAbal
ahomAyAjAl
ahomadAval
ahomahIyas
ahomahachi
ahomahatva
ahomaxatra
ahomesaubh
ahomohaHpu
ahomohovar
ahomuchitr
ahomukaShT
ahopUrmams
ahoprabhAv
ahoprachCh
ahoprakRti
ahopramAdI
ahorAtrAmi
ahorAtrama
ahorAtrevi
ahorUpamah
ahoraghush
ahorasikat
ahosAhajik
ahosamsAra
ahosamsRti
ahosamudra
ahosatsamg
ahosthairy
ahosthiraH
ahostrIpre
ahosusadRs
ahotRShmAv
ahotamaive
ahotibalav
ahotimirmo
ahovaichit
ahoviShAda
ahovidhAta
ahovidhAtr
ahovishAla
ahoyeShAmv
ajAdhUliri
ajAgalasth
ajAivapraj
ajAjIjambA
ajAmUtramc
ajAmamAhAt
ajAmamdAhA
ajAmatAbha
ajAmatIkAp
ajAmghrimi
ajAmivapra
ajArajaHkh
ajArajaHpa
ajAshvayor
ajAsimhapr
ajAtamRtam
ajAtamRtamUrkhe
ajAtaromAm
ajAvigarda
ajAyamtait
ajAyuddham
ajAyuddhamRShis
ajIrmamtap
ajIrmebheS
ajIyatAvar
ajaiDakAsU
ajamApuruS
ajamibhaga
ajamiprati
ajamirajam
ajamishish
ajamyakamp
ajarAmarav
ajasrabhUm
ajasramAro
ajasramabh
ajasramlas
ajasyagRhm
ajavacharv
ajeyaHsubh
ajitemdriy
ajitvAsArm
ajmAmAdyad
ajmAmAdyadivAdh
ajmAmAjmAm
ajmAmAjmAmatovA
ajmAmAmava
ajmAmAmavi
ajmAmAmdha
ajmAmAmira
ajmAmAtkur
ajmAmaikah
ajmAmamiha
ajmAmamkAr
ajmAmamkha
ajmAmamyat
ajmAmaprab
ajmAmatimi
ajmAmavali
ajmAmavara
ajmAmemApi
ajmAmemAvR
ajmAmemAvRtolok
ajmAmemapa
ajmAmopaha
ajmAstaram
ajmAtAHpur
ajmAtAgama
ajmAtabhAv
ajmAtadesh
ajmAtadoSh
ajmAtakAlo
ajmAtakula
ajmAtakulashIle
ajmAtamAma
ajmAtamAtR
ajmAtamahi
ajmAtapAmD
ajmAtashAs
ajmAtavIva
ajmAtemdup
ajmaHsukha
ajmamkarmA
ajmashchAs
ajmashchAshrada
ajmastAvad
ajmasyArdh
ajmatayApr
ajmeShvajm
ajmebhyogr
ajmobhavat
ajmojamtus
ajmomavita
ajmopitajm
ajmovAyadi
akAlachary
akAlajalad
akAlajaladachCh
akAlajaladashlo
akAlamRtyu
akAlamRtyuharam
akAlamRtyurvish
akAlasaham
akAlasaimy
akAlegarji
akAlekRtya
akAmAmkAma
akAmAmkAmayatiy
akAmDadhRt
akAmDadhrt
akAmDakopi
akAmDapAta
akAmDevaxo
akAmasyakr
akAramAviS
akAramAviShkRta
akAramamrU
akAramamvy
akAramemai
akAramemav
akAryAmyap
akAryakara
akAryamasa
akAryaprat
akAryetath
akIrteHkAr
akIrtimchA
akIrtirmim
akIrtiryas
akRShTapha
akRpamamas
akRshamita
akRshamkuc
akRtAtmAma
akRtadviSh
akRtajmama
akRtakaval
akRtaprema
akRtasyAga
akRtatyAga
akRtavisha
akRtayamai
akRtayamya
akRteShvev
akRtepyudy
akRtopadra
akRtrimapr
akRtrimavi
akRtvAhela
akRtvAkarm
akRtvAmAmu
akRtvAmija
akRtvApara
akRtvApaur
akRtvApauruSham
akRtyamyat
akUpArAdvA
akUrchAram
akachaTata
akalamkAmt
akalamkApu
akalamkach
akalamkodR
akalilatap
akalitamij
akalitasha
akaliyugam
akalpaHsvA
akamTakApu
akamThasya
akapardaka
akaravamad
akarmadhAr
akarmamAmv
akarmamaka
akarmashIl
akaroHkimu
akartavyam
akartavyeS
akarumakAt
akarumamRS
akarumatva
akarumatvamakAr
akasmAdapi
akasmAdeka
akasmAdeva
akasmAdevatamva
akasmAdevatecha
akasmAdevayaHko
akasmAduma
akasmAdveS
akasmAtpra
akausumIma
akekIkimke
akhamDamam
akhamDitAs
akhamDitam
akharvapar
akhilamvid
akhileShuv
akimchamAs
akimchamaH
akimchamas
akimchamasyashu
akimchamat
akimchidap
akimchitkA
aklAmtadyu
akleshAdiv
akliShTabA
akrUrasyam
akrUroyama
akramemAmu
akratvamga
akratvarth
akrodhamaH
akrodhamaHsatya
akrodhamas
akrodhamsh
akrodhasya
akrodhavai
akrodhemaj
akuberapur
akulAmAmku
akulImaHku
akulImastu
akulImopim
akulepatit
akumThotka
akurvamtop
alAbhAtpur
alAbubIjam
alAbumvart
alIkaevatv
alIkarUpoy
alIkavyAmu
alImAmAlAb
alabdhAmta
alabdhadug
alabdhalip
alabdhamIh
alabdhamch
alabdhamchaival
alabdhamic
alabdhavet
alabdherAg
alabdhvApi
alabdhvAya
alabhamtam
alabhyalAb
alabhyamla
alabhyamlabdhuk
alaghUpala
alaghutAja
alakAshcha
alakatamaH
alakeShuch
alaktakoya
alaktakoyathAra
alalitagat
alamAdivar
alamAtmIya
alamabhimu
alamalamag
alamalamam
alamalamat
alamalamativRdh
alamalamiy
alamalamro
alamamdhab
alamamyair
alamamyath
alamapriyA
alamathavA
alamaticha
alambuShAk
alamghyams
alamghyamt
alamhimAmI
alamkArAdU
alamkArAdUramsa
alamkAraHs
alamkArabh
alamkArapr
alamkArohi
alamkRtaHk
alamkaroti
alamkarotihijar
alamkartum
alamkriyAs
alamkriyam
alamparigr
alamsthitv
alamtridiv
alamudakem
alamvAbahu
alamvAbahuvAdem
alamvilamb
alamvilamg
alamvivAde
alasAmapim
alasArumal
alasabhuja
alasairmad
alasalulit
alasamadhu
alasamukha
alasamukul
alasamvapu
alasamvikr
alasasyAlp
alasasyaku
alasavalit
alasavalitamugd
alasavilas
alasavilasitAmA
alasayatig
alasomamda
alaukikama
alaulyamAr
alaxitagat
alaxitakuc
alaxmIrAvi
alibhiramj
alikulamam
alimIlAlak
alipaTalai
aliramusar
alirayamal
alirmRgovA
alivalayai
aliyuvAvil
alobhaHpar
alokavamta
alomashamp
alpAmAmapi
alpApakAra
alpAshchag
alpAshraya
alpAxarara
alpAyAmvAm
alpAyAsaba
alpIyaHskh
alpIyasAme
alpIyasaiv
alpamAmapi
alpamapyav
alpamdarpa
alpamirmit
alpamkimch
alpaprabho
alpasAropi
alpasatvop
alpashruta
alpatodhik
alpatoyash
alpechChur
alpemApisu
alpemaivag
alpemavibh
alpepimRpa
alpepyapak
alpevayasi
alpopihyar
alubdhaiHs
aluptasatv
amAbhAvemR
amAdAyIvya
amAdRtacha
amAdRtyauc
amAdaShTag
amAdarAlok
amAdarahat
amAdarapar
amAdbhavam
amAdebhrUm
amAdebhrUmahAmA
amAdeyamAd
amAdeyasya
amAdiShTop
amAdidhAvi
amAdivarga
amAdiviShT
amAdiviShThApis
amAdraktam
amAdyamtAt
amAgatambh
amAgatamhi
amAgatampr
amAgatamya
amAgatavar
amAgatavat
amAgatavid
amAgatavidhAmam
amAgatavidhAmamtukar_1
amAgatavidhAtAr
amAgatopad
amAghrAtam
amAhUtaHpr
amAhUtaHsa
amAhUtapra
amAhUtovis
amAhitAgmi
amAhvAmepr
amAkAshech
amAkRShTas
amAkUtaire
amAkalitam
amAkeshech
amAlochyap
amAlokyavy
amAmAteShu
amAmAyamal
amAmemApib
amAmitamhi
amAmitvama
amAmuShams
amAptapumy
amArAdhyak
amArabdhAx
amArabhyAb
amArambhas
amArambhoh
amAratampr
amAratamte
amAratapar
amArogyama
amAryamapy
amAryapraj
amAryatAmi
amAryavRta
amAryemakR
amAshamesy
amAshritAd
amAshrited
amAsthAvas
amAsvAdita
amAsvAdyam
amAtapatro
amAthAmAmA
amAthAmAmd
amAthAmrog
amAtmavAma
amAtsaryam
amAturotka
amAtyAdyAH
amAtyaHshU
amAtyaiHkA
amAtyarASh
amAtyedamD
amAtyoyuva
amAvAsyAma
amAvRShTih
amAvRtAHsv
amAvRtamav
amAvarjita
amAvartIkA
amAvilamph
amAyAmAmAh
amAyAsakRs
amAyAsemam
amAyAsemamarama
amAyakAvim
amAyakemav
amAyavyaya
amAyayaiva
amAyesmRti
amAyidesha
amDAbhyAml
amDajAHpum
amDamkamDU
amIShAmAmo
amIShAmArU
amIShAmDal
amIShAmjam
amIShAmjus
amIShAmohA
amIShAmprA
amIShAmuSh
amIbhiHsam
amIbhirAka
amIhelomeS
amIhivRxAH
amIhivastr
amIkArAgAr
amIpAmakar
amIpRthust
amIpurasth
amIrShyAHs
amIrShyurg
amIrShyurguptad
amIsamudbh
amIsamuddh
amIshAyash
amIshirISh
amIshvaroy
amItaTasam
amItilAHta
amItilAsta
amIvyarthA
amRtAdamRt
amRtAdhmAt
amRtAmshoH
amRtApyAyi
amRtAtmami
amRtAvigat
amRtAyatAm
amRtadrava
amRtadravairvid
amRtajalad
amRtamAmay
amRtamadhu
amRtamamRt
amRtamamRtamcha
amRtamamRtamchamdras_1
amRtamayam
amRtambhuj
amRtamchAT
amRtamchai
amRtamchas
amRtamdurl
amRtamidhA
amRtamkira
amRtamsAha
amRtamsadg
amRtamsaty
amRtamshis
amRtamshishirev
amRtamshishirevahmir_1
amRtamshishirevahmiramRtams_1
amRtamtada
amRtapaTut
amRtarasas
amRtarasav
amRtasikta
amRtasyamd
amRtasyamdimamk
amRtasyapr
amRtasyeva
amRtasyevasamtR
amRtasyevatRpye
amRtavacha
amRtedharm
amRtomathi
amRtotprex
amRtotprexamerA
amUDhAmamd
amUlambala
amUlyasyam
amUmavegAd
amUmigachC
amUrhibhit
amUrkhoyom
amabhUtAhi
amabhidhyA
amabhidhyAparas
amabhijmAy
amabhijmog
amabhilaSh
amabhravRS
amabhrevid
amabhyAsah
amabhyAsahatAvi
amabhyAsem
amabhyAsemavedA
amabhyasta
amadAhehar
amadAmAtpa
amadAmAtparamdA
amadAmamah
amadAmampa
amadAtAbha
amadayamad
amadhItyAr
amadhItyad
amadhItyas
amadhItyay
amadhigata
amadhvamyA
amadhyavas
amadojalad
amahImodah
amahUtAHsv
amaishvary
amajAbhuvi
amajadAkam
amalAtmasu
amalImasam
amalaHsali
amalaHshIt
amalamRmAl
amalamkRto
amalasajav
amalastamb
amalpachim
amalpadagd
amalpamjal
amalpamsam
amalpatvAt
amamaskamg
amamdAmamd
amamdAmamdAmAmg
amamdamami
amamdamata
amamdatara
amamgIkRta
amamgIkRtakamda
amamgaHpam
amamgabAmA
amamgalamg
amamgamamg
amamgamamgalAra
amamgamamgalabh
amamgapali
amamgaramg
amamgaramgaprat
amamgarasa
amamgashas
amamgatApa
amamgemAba
amamgoyama
amamjitAsi
amamkurita
amamrAkram
amamtAsauk
amamtachar
amamtakhyA
amamtakopA
amamtamAma
amamtambat
amamtapAra
amamtapAramkila
amamtapada
amamtarama
amamtaratm
amamtashAs
amamtashch
amamtatatv
amamtavibh
amamtodbhU
amamtramax
amamtramaxaramA
amamuramam
amamyAlamb
amamyAsair
amamyAshch
amamyAshri
amamyasAdh
amamyasAdhArama
amamyasAmA
amamyashob
amamyatAsa
amamyaxuma
amapAmAdib
amapAmAmij
amapAmamvi
amapatyeSh
amapexitag
amapramAsh
amarImukha
amarShimAk
amarShopag
amarairamR
amarairgat
amarataruk
amarayuvat
amarghyAmy
amarghyalA
amarghyama
amarghyams
amarthAhya
amarthAmsh
amarthakam
amarthamak
amarthamar
amarthecha
amarthitar
amarthitvA
amarthopya
amartyAHsa
amarukakav
amasUyArja
amasUyAxam
amasUyaHkR
amasisIdat
amastamita
amatichiro
amatishaya
amatishith
amauchityA
amauchitye
amauktikam
amavApyamc
amavadyama
amavahitaH
amavaratad
amavaratak
amavaratam
amavaratamayama
amavaratap
amavaratar
amavasarec
amavasthit
amavasthitachit
amavastras
amavexitam
amavyayevy
amaxarajme
amaxaramrU
amayAjagha
amayAkRtam
amayAmukra
amayAratma
amayAsurak
amayAtavar
amayamapat
amayashcha
amayemevar
amayoramav
amayovimay
ambAkupyat
ambAkupyatitAta
ambAmathAr
ambAshetet
ambAtuShya
ambAyAshch
ambAyemasa
ambarAmtam
ambaramamU
ambaramamb
ambaramapa
ambarameSh
ambarameva
ambaramsti
ambaramvim
ambaravipi
ambarembub
ambashrAmy
ambashvash
ambeyameya
ambhAmsija
ambhaHkard
ambhaHkumb
ambhaHsamb
ambhasAbhi
ambhasAsha
ambhasaHpa
ambhasaHpr
ambhasitar
ambhastatv
ambhobhaja
ambhobhist
ambhobimdu
ambhodasta
ambhodhImA
ambhodhauv
ambhodhere
ambhodherj
ambhodherv
ambhodhiHs
ambhodhixi
ambhojAmig
ambhojAxyA
ambhojagar
ambhojapat
ambhojapra
ambhojimIv
ambhomidhe
ambhomuchA
ambhopipra
ambhorAshi
ambhoruhAx
ambhoruham
ambhoruhamayesm
ambhovAham
ambrahmAra
ambudaHkRt
ambudherud
ambujamamb
ambujamambumima
amchalAmta
amchatiraj
amdUmuddhU
amdadyAdat
amdhAivaba
amdhAivama
amdhAmyamv
amdhAvidva
amdhIkarom
amdhaHsaev
amdhaHsyAd
amdhadvaye
amdhakArAm
amdhakArag
amdhakaHku
amdhakaHkubjaka
