AbAlyampat
katipayadivasai
kaumudIvat
kavImAmsam
kavImdrAmA
kechidbadd
kimadhyAhm
kimkAramam
kimkRtemam
kimvarmyat
kodamDamad
kodamDasta
kopyamyaHk
lAvamyauka
labdhArdha
labdhvAyad
lajAkIrtir
lamkAdhAma
laxmIryAsy
laxmIshche
laxmIstehR
laxmIstesa
lokAmAmAma
lokeshaHka
mAchakrach
mAdyadvait
mAlIkabham
mAlimgamti
mAmAbhUSha
mAmAvidhap
mAmamvayas
mImAmsakom
mIraxIregR
mItistrImu
mRgaHpramI
mRpaHkarAb
mRpatimijA
mRpatimuku
mRtyadbhar
mUrdhmAkal
madhupAmap
maitachitr
makilAmuma
malopovarm
mamdashcha
mamithyAvA
mamobhUrmu
mamyemRtyo
mamyeramye
mamyespars
masamAsaHs
matUmAdudd
matvAlokam
maxatrabhU
mayisthiti
medimyAmvi
meghobhAti
merurdUrag
mijAmapiga
mikaTastha
mikhileShu
miryachCho
mishAratma
mistrimsha
mityamvRdd
miyamayasi
moglAmimbh
mokAmaHpra
mukhehArAv
muktAHkeli
mumchatimu
pAtAlemamj
pAtretyAgI
pRthvIshrI
pUrvatrAsi
padaishcha
padmAsadma
padmodayad
palAyitAta
palavataHk
pamthAHsam
parjamyaiv
paryamkorA
pashyamtya
pauramsutI
phamImdras
prAgetadva
prAmAmyamp
prAmAmyamparato
prAmAmyams
prabhrashy
pradhamAdh
prajAmAmvi
prajmAtRtI
pratApabhI
pratIpabhU
pratyAvAsa
pratyaxara
prauDhimdh
rAjAmaHsha
rAjAmampra
rAjArAShTr
rAjAsyajag
rAjachamdr
rAjamabhyu
rAjamdauvA
rAjamstvad
rAjamumjak
rAjamvibhA
rAjetixama
rAjmAmasya
rAjmidharm
raghutilak
raktemaiva
ratmAmyamb
ratmasAmus
raviHkaras
rephavyamj
rudhiravis
rudrasyApi
sAdharmyem
sAkamkuram
sArasavatA
sAshamkasy
sadAhamsAl
sadAmurakt
sadagrahAr
sadutamsad
sahasrakar
samAjesamr
samArIbhar
samadamata
sambhAvyam
samgrAmAmgamamA
samgrAmaxo
samgrAmodi
samjAtedra
samtaptash
samtatamus
saralapriy
sarvAtirik
sarvadAsar
sarvadevam
sarvadevamayasy
sarvajmait
sarvamlumT
satyAsaktamamAg
satyabhAmA
satyamsAba
saumdaryam
savelAvapr
semAparich
shAsatitva
shaktiHsar
shaktimpra
shamirasha
sharAsames
shatrUmAmy
shauryamke
shiroveShT
shrAvamshr
shrIbhojas
shrIkRShma
shrIkamThA
shrIkarmap
shrIlaxmIm
shrImadrUp
shrImadvIr
shrImadvai
shrImamAya
shrIrAmatv
shrIrAmemR
shrIvIratv
shrIvIraxi
shuktidvay
simdhorjai
simjAmairm
sitAmshuva
smAtastvad
spRShTAkRS
sphuradadb
sphuraddha
stamayugam
stamayugamuktAb
surAmAmpAt
svAmtevaib
svabhAvAra
svapmepisa
svargAdgop
svasukhami
svataHprak
svedAmbhaH
tAmbUlemav
tArAdhimAt
tAvakAHkat
tRShmApahA
tamamgadem
tamvamtIti
tasyasamvR
tatkRtamya
tavAgratov
tavAhavesA
tavAmgames
tavamirvar
tavamityam
tekaupImad
tigmaruchi
trAtumlokA
trailokyAb
tuchChAmta
tulAdhArod
tulAmAruhy
tvachitebh
tvadbAhodd
tvadbAmeSh
tvadvairib
tvadyashoj
tvamchetka
tvamdvitrA
tvatkIrtir
tvatkhaDga
tvatprArab
tvayAvIrag
tvayilocha
tvayisamga
uchaiHkaly
uchaiHshra
udamDebhuj
udetipUrva
uptAkIrtil
utkhAtAmpratiro
utpatyutpa
vAdAmAshAm
vAhavyUhak
vIrashrIku
vIrasimhAr
vIratvamkA
vIraxIrasa
vaikumThAb
vaktrAmbho
vedhAvedam
velAmulamg
vibhajyame
vidadhatud
vidalitasa
vidrAmeram
vidvadgoSh
vidvadvRmd
vidvamAmas
vidyAratma
vidyAvamto
vimdhyAdri
vishAmpate
visphAryav
vratesampr
vyAsyamaik
vyUDhorask
xIraxAlita
xIrodamvad
xamadAsAva
xamamapyam
xomIkAmami
xomIkAmamijAmat
xubhyatpra
xudrasyaki
yAlAxAvala
yaHpRShTha
yadapikaTa
yadbAhUvah
yadbIjAmic
yadbhartuH
yaditrilok
yadivaimam
yadixumpUr
yadvIryamk
yairdRShTo
yamaHprati
yashaHkara
yashaHpUra
yashaHpaTo
yashaHshas
yashaHstom
yashashcha
yashodayAm
yasyAgmiHk
yasyacheta
yasyaprasA
yasyeShava
yasyochChi
yasyodyadbujada
yathAhyamA
yathAyathA
yatkIrtyAd
yatkasyAma
yayorAropi
yeShAmdorb
yeShAmkamT
yelabdhAsh
yemajamtim
yemutvamas
yosakRtpar
yudhiShThirosib
yudhvAchAb
