AchAmtakAm
balavAmapi
balimAsaha
bamdIvimda
bamdhImAms
bamdhuHkom
bamdhustrI
barbarashc
bhAryAviyo
bhUmipatAv
bhUmirmitr
bhUpaHkUpa
bhaktamrak
bhartAdevo
bhavatihRd
bhavatyeka
bhayevAyad
bhimechite
bhogAxamas
bhogaHparo
bhogasyabh
bhogechChA
bhogimaHka
bhojyambho
bhramatsam
brAhmamAga
brAhmamaHx
brahmahaty
buddhaukal
buddhimatv
buddhishas
budhAgrema
chATataska
chAmDAlaHp
chAmdrImle
chakramsev
chalatyeke
chamchalam
chareddhIm
chatvArodh
chaxuHpUta
chimtAjarA
chimtamIyA
chimtyatem
chiremamit
chitAyatam
chitrAsvAd
chitrAsvAt
chorAmatAl
dAmamdarid
dAmampriya
dAmamsatvA
dAmamvitAd
dAmemabhog
dAmematuly
dAreShukim
dAtAdAmasy
dAtAxamIgu
dAtRtvampr
dAturumata
dAximyamsv
dIpamirvAm
dIpobhaxay
dIrghashRm
dRDhaHprem
dUrasthAHp
dUrasthamj
dUrasthopisamIp
dUrataHsho
dadAtiprat
dadatoyudh
dadhimadhu
dadyAtsAdh
damDodamay
damtasyami
daridratAd
darshamamA
darshitAmi
daurmamtry
daxaHshriy
dehepAtimi
deshATamam
deshAmAmup
deshAmutsR
devetIrthe
dhAmyAmAms
dhAtuHparI
dhAtuvAdeS
dhIrAmAmbh
dhUrtaHstr
dhamAgamed
dhamAshAjI
dhamadhAmy
dhamamastI
dhameShujI
dhamemakim
dhamikaHsh
dharmArthakAmam
dharmArthakAmat
dharmArthamyasy
dharmArthauyatr
dharmaHprA
dharmahAmy
dhavalAmyA
dhigRhamgR
dhigjIvita
dhriyateyA
dhyAmashas
divApashya
doShabhIte
doShopigum
dravatvAts
dravyaprak
duHkhemash
duShTAbhAr
duShTairap
durArAdhyA
durArAdhyAHshri
durArohamp
durAsadAma
duradhItAv
duradhigam
durbalasya
durbhagaHs
durgadesha
durjamagam
durjamojIy
durlabhams
durlabhopy
durmamtrIr
durmamtrim
duryodhama
dvAreruddh
dvAripravi
dvAvimaupu
dvAvimaupuruSha
dvAvimaupuruShauloke_1
dvAvimaupuruShaulokemabhUta_1
dvAvimaupuruShaulokeshiraHs_1
dvAvimaupuruShaulokesvargas_1
dveShidveS
dviHsharam
dviShatAmu
dyUtampust
dyUtamyoya
ehisvAgata
ekAmiShAbh
ekaevapadA
ekambhUmip
ekamhamyAmavAhamyAdiShurmuk_1
ekastapodv
ekasyaduHk
ekasyakarm
ekodevaHkeshavo
etAvajamasAphal
etadarthamkulIm
gADhamguma
gAmdharvam
gIrbhirgur
gItashAstr
gRdhrAkAro
gRdhradRSh
gUDhamaith
gamdhaHsuv
gameshaHst
gamtavyArA
gardabhaHp
gatAmugatikolok
gatashrIrg
gatepivaya
gateshokom
gaurgauHkA
ghRtakumbh
ghaTambhim
giraumayUr
gopAlemapr
gumAlayopy
gumAmAmamt
gumAmbhUSh
gumIgumamv
gumadoShAvamish
gumamadhig
gumampRchC
gumavAmapi
gumimAmirg
gumobhUSha
guroHsutAm
gurorapyav
gurumprayo
gurupatmyA
gururagmir
gurushushr
hAraHprala
hImasevAma
hamsomabhA
hamsovibhA
hamtumeSho
harShakrod
hastAdapim
hastIchAmk
hastIhasta
hastasyabh
hatamashro
hatamjmAma
helAsyAtkA
heturmaisa
hiramyadhA
hitopadesh
ichCheched
ichChedyas
idamevamar
imdumimdatitask
ixudamDAst
iyamprItir
jAmAtAjaTh
jAmIyAtsam
jAmamapija
jAmamtihig
jAmamtipas
jAtamAtram
jAtimAtrem
jIrmamampr
jIvamtopim
jIvetiprab
jIvitamtad
jRmbhAmiSh
jaDeprabha
jalabimdum
jalamagmir
jaletailam
jamamIjama
jamamjamap
jamiklesha
jamimosyas
jamitAchop
jamtormiru
jarArUpamh
javohisapt
jayechalab
jihvAlauly
jitelaxmIr
jitemdriyatvamv
jvalaticha
jyAyAmsama
kAchemamir
kAkaHpaxiS
kAkatAlIya
kAkeshauch
kAlAtikramamamv
kAlakramem
kAmAyaspRh
kAprItiHsa
kAramAmitr
kArpamyema
kArumyamsamvibh
kAryApexIj
kAshlAghyA
kAtaryamke
kAvidyAkav
kAyaHsamih
kIrtimRmAl
kRmikulach
kRtAmtapAs
kRtApachAr
kRtArthaHs
kRtaghmasy
kRtakRtyas
kRtamishch
kRtashatam
kRtasyakar
kRtavAmamy
kRtepratik
kRtimAmakR
kUTasAxImR
kUpodakamv
kaShTAvRti
kaTukamvAm
kalAratmam
kalAsImAkA
kalahAmtAm
kalpAmtavA
kalpayatiyemavR
kamakabhUS
kamyAmiShk
karaprache
karmAyatam
karmamAmamasAvAchAch_1
karotimosh
kartavyame
kashchitkasyach
kasyApikopyatis
kasyachitk
kathamAmam
kaurmamsam
kavayaHkimapash
kavihRdaye
kechidajmA
kevalamvya
khaDgamUla
kharamshvA
khyAtaHsha
kimArAdhya
kimAsevyam
kimapyasAd
kimapyasti
kimbhUShamamsud
kimbhaktem
kimchitramyadir
kimdhamema
kimiShTama
kimkariShy
kimkokilas
kimkrUramp
kimkrUrams
kimpauruSh
kimtIrtham
kimumesyAd
kimvAsasAt
kimvidyayA
kitavAyamp
kodharmobh
kohamkaude
kokilAmAms
kolAbhogum
komayAtiva
komdhoyokA
kopaprasAd
kopavAdaHs
korthAmprA
kotibhAraH
kotretyaha
kratauvivA
kriyatedha
krodhohish
krodhomUla
kubhojyema
kudeshamAs
kudeshamch
kugrAmavAs
kulImaiHsa
kulekalamk
kupAtradAm
kurvamapiv
kuryAmIcha
kuryAmapar
kutaHsevAv
kutravidhe
kutravidheyovAs
kvachidraS
lAbhasteSh
lAlamebaha
lAlayetpam
lalitAmtAm
laxmIrvasa
lekhamIpus
lobhamUlAm
lobhashche
lokAmugrah
lokaeShaga
lokayAtrAb
lokeShumir
lubdhAmAmy
lubdhamart
mAdhuryamp
mAdravyemi
mAgmistRpy
mAgobhAtim
mAjArajaHp
mAkAlemriy
mAkamdarAj
mAlambated
mAlasAHprA
mAmRShiHku
mAmivedyap
mAmsamRgAm
mAmtarajmA
mAmuShyesa
mApRShTaHk
mAparIxyam
mAprApyama
mArIparamu
mArjAromah
mAruhedviS
mArumtudaH
mAsimAsisa
mAstikAmas
mAstimegha
mAstisatya
mAstividyA
mAstiyajma
mAtAmitram
mAtApitAgu
mAtAtasAha
mAtAtasamp
mAtAyadivi
mAtAyasyag
mAtRvatpar
mAtrAsamam
mAtrAsvasr
mAtvamtAta
mAtyartham
mAvidagdha
mIchAvamAm
mIchamsamR
mItirbhUmi
mRdoHparib
mRdubhirba
mRduvyavah
mRgAmRgaiH
mRpAmAmcha
mRpaHkAmAs
mRpadIpaud
mRpopakRSh
mRtAmAmsvA
mRtaHprApm
mRtasyalip
mRtodaridr
mUlabhRtyA
mUlamdoSha
mUrkhAmAmp
mUrkhashiS
mUrkhemiyo
mUrkhodvij
mUrkhoshAm
maShTamRta
mabhobhUSh
machavidyA
madIkUlech
madImAmakh
madImAmcha
madItIreSh
madevovidy
madhukarag
madhumAsim
madravyAmA
madviShtim
madyapAHki
magamasyAg
mahAmadIpr
mahAmapyal
mahAmatira
mahAyamair
mahIdRsham
mahatAmyadimimd
mahatastar
mahatyalpe
majAtukAma
majmAtumAp
makAlaHkha
makashchic
makashchid
makashchit
makasyachi
makrodhayA
makuryAdab
malimIdala
malokAyata
mamAgamabh
mamAtAshap
mamIShimaH
mamadyavya
mamasAchim
mamasaivak
mamdAkimIp
mamiHshAmo
mamimAvala
mamodhAvat
mamomadhuk
mamtrabIja
mamtrabhed
mamtrimAmb
mamtrimApR
mamtroyodh
maparasyAp
mapashyati
maputrAtpa
maputrAyat
marAHsamsk
marAdhipAm
marAmAmApi
maramyamAr
marapatihi
marasyachi
maratvamdu
mareshejIv
markaTasya
martavyami
masAhasaik
masAramIyA
masAsabhAy
masamshaya
masarpasya
masthAtavy
mastrIjita
masvalpama
masvalpasy
masvapmema
matachChas
matadbhukt
matathotth
matirevaba
matsyAdayo
maumamkAla
maumemaumI
mavadhyamt
mavamvastr
mavetiyoya
mavevayasi
mavishvesa
mavyAptire
maxatrabhUShama
maxikAmash
maxikAvram
mayajvAmop
mayasyache
mayemAmkur
miHsArasya
mijAshayav
mijadoShAv
mijavarShA
mikaTasthamgarI
mimagmasya
mimdAmyaHk
mimdamtumI
mimeShamAt
mimitamudi
miratishay
miraxarevI
mirvAmadIp
mirvRtAdhv
mirviShemA
mirviShopi
mirvisheSh
mitambovis
mitrAmisha
mitradrohI
mitradruha
mitramsvac
mitrasvaja
mitravAmsA
mityAryapR
mityamAsya
mityamkrod
miyataiHpa
miyataviSh
miyuktaHxa
miyuktahas
modamvAmar
mopabhogap
mopexitavy
mudamviShA
muhUrtamap
muhurlaxyo
mukhyameka
mukuTeropi
mumerapiva
pAdapAmAmb
pAdemakram
pAmIyamvAm
pAmamaxAst
pAmamdurja
pAmamstrIm
pAtakAmAms
pAtrApAtra
pRShThataH
pUrotpIDet
pUrvadateS
paThakaHpA
paThatomAs
paTutvamsa
padAmikrat
padepadech
pamDitaiHs
pamDitecha
pamchabhiH
pamchabhiHkAmit
pamchabhir
pamchaitAm
parAbhavam
parAdhImam
parApakAra
parIvAdast
paradArAma
paradAramp
paradArapa
parampalit
paramvimIt
parasparAm
pareShAmkl
parichChed
pariharata
paropadeshavelA
paropihita
parovajAmA
pashyamtim
pashyatipa
pativratAy
paulastyaH
phalArthIm
phalahImam
pimDepimDe
pipIlikArj
pitAraxati
pitAvAyadi
pitrormity
prAgalbhyahImas
prAjmemiyo
prAmAghAtA
prAmAtipAt
prAmAyathA
prAptAHshr
prApyachal
prAyaHsamt
prAyemAtra
prAyoduram
prItirlaxm
prabhUtama
prabhUtava
prabhavaHkhaluk
prabhupras
prabhuprasAdevi
prabhurviv
pradoShedI
pradoShemi
prahariShy
prajAmAmdh
prajAmAmpA
prajAmaram
prajAmsamr
prajApIDam
prajmAgupt
prakIrmake
prakRtiHsv
prakaTamRd
pramAdimAm
pramadAmad
prasAdomiS
prasaratim
prastAvasa
prathamadi
prathamemA
pratigRhak
pratyAkhyA
pratyUhaHs
pratyahamp
pratyaxegu
prayatmesa
preShitasy
premasatya
priyavAkya
puShpairap
purAmAmtes
purAmamity
pustakasth
pustakeShuchayA
putrapautravadh
putraprayo
putrasUHpA
rAHpumyamc
rAShTrasya
rAgedveShe
rAjAbamdhu
rAjAghRmIb
rAjAmAmach
rAjAmameva
rAjAmataHs
rAjAmoyamp
rAjApashya
rAjAsampat
rAjAshraya
rAjAveshyA
rAjamdudhu
rAjamividu
rAjapatmIg
rAjmAmAjmA
rAjmastuda
rAjmidharm
rAjmimAtar
rAjyalobhA
rAjyesAram
rUpamjarAs
rUpemAprat
ramamIyaHs
raxAdhikAr
riktAHkarm
rogIchirap
rogashokap
rolambairm
ruShTopirA
sAbhAryAyA
sAdhvIstrI
sAmAdAmema
sAmAdisaji
sAmadAmebh
sAmaivahip
sAmsArikam
sAsevAyApr
sAshrIryAm
sAvitrImAt
sAxarAvipa
sAxarampur
sUchImAtra
sUmuHsacha
sabhAvAmap
sachChidra
sadAmAtyom
sadIxitoya
sadavamama
sadayamhRd
sadbhAvema
sadbhiHsam
sadbhireva
sadoShaHsa
sadvamshas
sadyomAmsa
sahajamali
sahajopigu
sahasAvida
sajIvatigu
sajayIvara
sakRdapidR
sakRduShTa
sakalApika
sakimsakhA
samUrkhaHk
samatohamp
sambhojama
sambhramaH
samchimtya
samdadhIta
samdehovai
samdhivigr
samgrAmesu
samihitepi
samikarSho
samkaTemac
sampUrmaku
sampadyAst
sampatsara
samstitasy
samtashchedamRt
samtoShast
samtoShaxa
samtrimAva
samtuShyat
samudrAvar
samyagamiS
sapaxolabh
sapaxolabhatela
sapratibam
saptaitAmi
sarasibahu
sarpAmAmch
sarpAmvyAg
sarpasyara
sarvaevaja
sarvahimsA
sarvamAshe
sarvamsahA
sarvathAsa
sarvathAsv
sarveShAme
sarvemdriy
sarveyatra
sasmigdhok
sasuhRdvya
sasyAmisva
satImapijm
satyAmRtAc
satyAmusAr
satyamsaty
satyamshau
satyapicha
satyemadhA
saubhAgyam
sauhArdasv
sauhRdemap
sauvarmAmi
savitAvidh
savyadaxim
saxatriyas
sevakaHsvA
sevitavyom
shAThyemad
shAkhAmRga
shAstramsu
shAstreShu
shIlAvalam
shIlabhAra
shIlamshau
shItavAtAt
shItetItev
shUmyamAkI
shUrAshcha
shaileshai
shaktemApi
shaktirahi
shamaiHpam
shamaiHsha
shamaiHshamaish
shamairvid
shambhuHsh
shamkAbhiH
shapathaiH
sharIramir
sharadisam
sharamAgat
shashIdiva
shastrairh
shatrorapi
shatroraty
shatrurdah
shatruvAky
shiShTaira
shishurapi
shobhamtev
shokasthAm
shradadhAm
shreyomUma
shrutamkRt
shrutemabu
shrutirvib
shrutismRt
shrutvAdha
shuShkamAm
shuShkemdh
shubhamvAp
shuchibhUm
shuklepaxe
shyAmAmamt
siddhamamt
siddhimvAm
sidhyamtik
simhAdekam
simhovyAka
smehohivar
spRshamapi
stabdhasya
sthAmaevam
sthAmeShus
sthAyimort
sthitomakh
strIbAlasv
strImAmhis
strImAmyau
strIvimash
subhAShitajmema
subhAShitarasAsvAdaH_1
subhixamkR
sugamdhamk
suhRdAmhit
suhRdAmupa
suhRdimira
sujIrmamam
sukhArthIt
sukhamApat
sukhamhidu
sukulajama
sukuleyoja
sulabhAHpu
sulabhamva
sumahAmtya
sumamtrite
supAtradAm
supUrAsyAt
susamdigdh
sutabhRtya
suvarmaiHp
suvarmapuS
svAdhImAda
svAdhImepi
svAmyamAty
svabhAvasu
svabhAvemahituS
svachChamdavama
svadeshajA
svajAtIyam
svajAtIyav
svajamaHsv
svalpAitir
svaphalami
svargachyu
svavashaHk
svayamkarm
syAdatyamt
tArumyamta
tAtAryamam
tAvadbhayA
tAvamahatv
tAvatsyAts
tIvretapas
tRmAmibhUm
tRmAmimomU
tRmambrahm
tRptiyogaH
tRptyartha
taTasthaiH
tadAramyAm
tadgRhamya
tamtrAvApa
taskarasya
taskarebhy
tasmAtsabh
tasyasamvR
tatramitra
tavAhamvAd
tejaHxamAv
trividhAHp
trivikramo
tuShyamtib
tulyArtham
tyAjyamadh
tyajatibha
tyajedekam
tyajetsvAm
tyajetxudh
uchitamamu
udArasyatR
udIritorth
udarkabhUt
udvejayatidarid
udyogaHkal
upAdhibhiH
upAdhyAyashchav
upabhoktumajAmA
upachAraHk
upakArAcha
upakAraHpa
upakAragRh
upakArakam
upakartAdh
upakartumy
upexitaHxI
utamAAtmam
utamampramipAte
utamamsvAr
utamamsvArjitam
utamastoSh
utamopyadh
utiShThamA
utsAhasyap
utthAyotthAyaboddhavyamahad_1
vAgvAdamar
vAhitamchA
vAjivArama
vAmChaivas
vApyobhava
vArijemeva
vArtAchaka
vAsAmsivra
vAsaHshubh
vRddhasyav
vRthAvRShT
vRtichChed
vRtyartham
vRxamxImap
vachastatr
vahedamitr
vahmijvAle
vaidyAmAmA
vaidyAvada
vaidyampAm
vaidyastar
vajramchar
vakraiHkrU
vamAmidaha
vameShudoS
varamaumam
varamdArid
varamkRtad
varamprAma
varamsakhe
varamshUmy
varamtumgA
varamvaray
varjayedim
varmAkArap
vasamtyara
vastrahIma
vastramgAm
vastumichi
vayasigate
vedhAdvedh
veshyAmahA
viShAdapya
viShadigdh
viShamasth
viShamcham
viShamopiv
viShasyavi
vidaivajma
vidhAyavai
vidhimAmam
vidvAmsams
vidyAbhyAs
vidyAmitra
vidyAtIrth
vidyAvatAm
vidyayAsah
vidyayAvimayAvA
vidyayaiva
vijetumpra
vijigIShur
vikrItamij
vimAgorasa
vimayamrAj
vipAkadAru
vipadobhib
vipaxamakh
viprArtheS
viralAjAma
vishAkhAmt
vishodhaye
vishvAsaHs
vishvAsapr
vishveshva
vismayaHsa
visrabdhag
vitamparim
vitaratiyA
vitemakimv
vivAdashIl
vivAdodham
vivAhakAle
vivarmavac
vrajamtite
vrajatyadh
vyAkulopiv
vyasamAmam
vyasamampr
vyasameShv
vyasamemit
vyathayati
vyatiShaja
xAmtishche
xamAshatra
xamAtulyam
xamtavyoma
xatAtkilat
xateprahAr
xatriyasyo
xayayuktam
xipedvAkya
xipramAyam
xomIshAshr
yAgamyAHsa
yAmimithyA
yAmtimyAya
yArAkAshas
yAvajIvams
yAvatsvast
yAvatsvasthamid
yaHkAkimIm
yaHkRtvAsu
yaHkarotiv
yaHkulAbhi
yaHkuryAts
yaHpRShTvA
yaHpaThati
yaHparasya
yaHsamAmam
yaHstokemA
yachChakya
yachimtita
yadAvigRhm
yadIchChas
yadabhAvim
yadaivabha
yadapathya
yadashakya
yadimasyAm
yadisamara
yaditavahR
yadyadevah
yadyapixit
yadyatpara
yamAshrity
yamAtApita
yamimitamb
yamyamRpom
yashaskare
yashchamUD
yashodhiga
yasmimdesh
yasmimevAd
yasmimkRty
yasmimkule
yasmimruSh
yasyachApr
yasyamajmA
yasyamajmAyates
yasyaxetra
yasyayasya
yatIvratIc
yataevAgat
yathAbIjAm
yathAchatu
yathAgaurd
yathAkAShT
yathAkhama
yathAprabh
yathAviham
yatkarmaku
yatrArjave
yatrAstila
yatrAtmIyo
yatrAyuddh
yatradeshe
yatramapha
yatsakAshA
yauvamamdh
yayorevasa
yayorevasamamvi
yebAhavoma
yechaprAhu
yehyAhaveS
yejAtyAdim
yemAhamkAr
yemAtmApam
yemashuklI
yeshAmtadA
yodhruvAmi
yomavetigu
yomitramku
yotiyasyay
yoyamartha
yoyatrakus
yoyemaprat
yuddhakAle
yuddhamcha
yudhyamtip
yuktaHpram
yuktamukta
yuktiyukta
yuktyAparo
